"","X","city","latd","longd","elevation_m","elevation_ft","population_total","area_total_sq_mi","area_land_sq_mi","area_water_sq_mi","area_total_km2","area_land_km2","area_water_km2","area_water_percent"
"456",455,"Wasco",35.5941666666667,-119.340833333333,100,328,25545,9.426,9.426,0,24.413,24.413,0,0
"457",456,"Waterford",37.645,-120.7675,52,171,8456,2.369,2.328,0.041,6.135,6.03,0.105,1.72
"458",457,"Watsonville",36.92,-121.763611111111,9,29,51199,6.783,6.687,0.096,17.569,17.319,0.25,1.42
"459",458,"Weed",41.4241666666667,-122.384444444444,1044,3425,2967,4.795,4.79,0.005,12.417,12.405,0.012,0.1
"460",459,"WestCovina",34.0566666666667,-117.918611111111,110,362,106098,16.09,16.041,0.049,41.671,41.545,0.126,0.3
"461",460,"WestHollywood",34.0877777777778,-118.372222222222,86,282,34650,1.887,1.887,0,4.888,4.888,0,0
"462",461,"WestlakeVillage",34.1419444444444,-118.819444444444,268,880,8270,5.509,5.185,0.32,14.257,13.43,0.828,5.8
"463",462,"Westminster",33.7513888888889,-117.993888888889,12,39,89701,10.049,10.049,0,26.027,26.027,0,0
"464",463,"Westmorland",33.0372222222222,-115.621388888889,NA,-164,2225,0.59,0.59,0,1.529,1.529,0,0
"465",464,"WestSacramento",38.5805555555556,-121.530277777778,6,20,48744,22.846,21.425,1.421,59.172,55.491,3.681,6.22
"466",465,"Wheatland",39.01,-121.423055555556,28,92,3456,1.486,1.479,0.007,3.848,3.831,0.017,0.45
"467",466,"Whittier",33.9655555555556,-118.024444444444,112,367,85331,14.7,14.7,0.016,37,37,0.041,0.11
"468",467,"Wildomar",33.6036111111111,-117.272777777778,387,1270,32176,23.688,23.688,0,61.351,61.351,0,0
"469",468,"Williams",39.1547222222222,-122.149444444444,25,82,5123,5.444,5.444,0,14.101,14.101,0,0
"470",469,"Willits",39.4097222222222,-123.355555555556,424,1391,4888,2.803,2.798,0.005,7.26,7.248,0.013,0.17
"471",470,"Willows",39.5244444444444,-122.193611111111,42,138,6166,2.873,2.847,0.026,7.441,7.373,0.068,0.92
"472",471,"Windsor",38.5461111111111,-122.805277777778,36,118,26801,7.293,7.268,0.025,18.888,18.824,0.064,0.34
"473",472,"Winters",38.525,-121.970833333333,40,131,6624,2.937,2.912,0.025,7.607,7.543,0.065,0.85
"474",473,"Woodlake",36.4163888888889,-119.099444444444,134,440,7279,2.765,2.248,0.517,7.159,5.821,1.338,18.69
"475",474,"Woodland",38.6786111111111,-121.773333333333,21,69,55468,15.303,15.303,0,39.634,39.634,0,0
"476",475,"Woodside",37.4208333333333,-122.259722222222,117,384,5287,11.732,11.732,0,30.386,30.386,0,0
"477",476,"YorbaLinda",33.888551,-117.813231,82.3,270,65237,20.018,19.483,0.535,51.847,50.46,1.387,2.67
"478",477,"Yountville",38.4030555555556,-122.362222222222,30,98,2933,1.531,1.531,0,3.966,3.966,0,0
"479",478,"Yreka",41.7266666666667,-122.6375,787,2582,7765,10.053,9.98,0.073,26.036,25.847,0.188,0.72
"480",479,"YubaCity",39.1347222222222,-121.626111111111,18,59,64925,14.656,14.578,0.078,37.959,37.758,0.201,0.53
"481",480,"Yucaipa",34.0302777777778,-117.048611111111,798,2618,51367,27.893,27.888,0.005,72.244,72.231,0.013,0.02
"482",481,"YuccaValley",34.1333333333333,-116.416666666667,1027,3369,20700,40.015,40.015,0,103.639,103.639,0,0
